UserId;BookId;Rating
1;1;4
1;2;1
1;3;4
1;4;4
1;5;3
1;6;4
1;7;3
1;8;2
1;9;5
6;1;5
6;2;3
6;3;4
6;4;2
6;5;5
6;6;3
6;7;2
6;8;3
6;9;4
7;1;3
7;2;1
7;3;3
7;4;4
7;5;3
7;6;2
7;7;2
7;8;3
7;9;2
8;1;2
8;2;4
8;3;2
8;4;4
8;5;3
8;6;3
8;7;3
8;8;5
8;9;4
9;1;2
9;2;2
9;3;2
9;4;3
9;5;2
9;6;2
9;7;2
9;8;2
9;9;2
10;1;2
10;2;3
10;3;4
10;4;1
10;5;1
10;6;3
10;7;1
10;8;5
10;9;5
11;1;4
11;2;2
11;3;2
11;4;4
11;5;1
11;6;3
11;7;2
11;8;2
11;9;3
12;1;3
12;2;2
12;3;3
12;4;4
12;5;2
12;6;3
12;7;3
12;8;5
12;9;5
13;1;5
13;2;2
13;3;4
13;4;4
13;5;4
13;6;5
13;7;4
13;8;3
13;9;5
14;1;4
14;2;4
14;3;2
14;4;2
14;5;3
14;6;3
14;7;2
14;8;5
14;9;3
15;1;3
15;2;5
15;3;2
15;4;2
15;5;2
15;6;3
15;7;2
15;8;4
15;9;4
16;1;5
16;2;2
16;3;1
16;4;5
16;5;2
16;6;3
16;7;3
16;8;1
16;9;2
17;1;5
17;2;2
17;3;2
17;4;3
17;5;3
17;6;5
17;7;4
17;8;5
17;9;3
18;1;5
18;2;2
18;3;1
18;4;3
18;5;2
18;6;4
18;7;2
18;8;1
18;9;4
19;1;5
19;2;3
19;3;4
19;4;4
19;5;4
19;6;2
19;7;2
19;8;5
19;9;4
20;1;3
20;2;1
20;3;1
20;4;4
20;5;1
20;6;2
20;7;2
20;8;1
20;9;2
21;1;4
21;2;3
21;3;4
21;4;4
21;5;2
21;6;4
21;7;1
21;8;1
21;9;3
22;1;5
22;2;5
22;3;5
22;4;5
22;5;5
22;6;4
22;7;5
22;8;5
22;9;5
23;1;5
23;2;4
23;3;2
23;4;2
23;5;2
23;6;2
23;7;2
23;8;3
23;9;2
24;1;4
24;2;1
24;3;3
24;4;5
24;5;2
24;6;3
24;7;2
24;8;1
24;9;3
28;1;4
28;2;2
28;3;4
28;4;5
28;5;3
28;6;4
28;7;3
28;8;4
28;9;2
29;1;3
29;2;2
29;3;3
29;4;4
29;5;1
29;6;1
29;7;4
29;8;2
29;9;3
30;1;4
30;2;5
30;3;2
30;4;2
30;5;5
30;6;4
30;7;3
30;8;4
30;9;5
31;1;3
31;2;2
31;3;3
31;4;4
31;5;4
31;6;3
31;7;4
31;8;4
31;9;5
32;1;4
32;2;2
32;3;2
32;4;2
32;5;2
32;6;4
32;7;2
32;8;3
32;9;3
33;1;5
33;2;2
33;3;3
33;4;3
33;5;1
33;6;3
33;7;2
33;8;4
33;9;4
34;1;5
34;2;1
34;3;2
34;4;1
34;5;2
34;6;3
34;7;1
34;8;4
34;9;5
35;1;3
35;2;1
35;3;2
35;4;4
35;5;4
35;6;3
35;7;5
35;8;5
35;9;4
36;1;5
36;2;4
36;3;5
36;4;4
36;5;4
36;6;3
36;7;3
36;8;3
36;9;5
37;1;4
37;2;2
37;3;3
37;4;1
37;5;3
37;6;4
37;7;3
37;8;2
37;9;4
38;1;4
38;2;3
38;3;4
38;4;5
38;5;2
38;6;3
38;7;4
38;8;2
38;9;5
39;1;3
39;2;2
39;3;2
39;4;2
39;5;3
39;6;4
39;7;4
39;8;3
39;9;4
40;1;4
40;2;3
40;3;3
40;4;3
40;5;3
40;6;4
40;7;2
40;8;3
40;9;4
41;1;5
41;2;2
41;3;1
41;4;2
41;5;3
41;6;5
41;7;2
41;8;1
41;9;1
42;1;1
42;2;4
42;3;1
42;4;2
42;5;4
42;6;5
42;7;1
42;8;1
42;9;3
43;1;4
43;2;5
43;3;3
43;4;2
43;5;2
43;6;3
43;7;4
43;8;3
43;9;3
44;1;4
44;2;2
44;3;4
44;4;4
44;5;3
44;6;2
44;7;4
44;8;3
44;9;4
45;1;5
45;2;4
45;3;3
45;4;3
45;5;4
45;6;4
45;7;3
45;8;3
45;9;5
46;1;4
46;2;3
46;3;3
46;4;2
46;5;4
46;6;3
46;7;2
46;8;2
46;9;4
47;1;4
47;2;3
47;3;1
47;4;3
47;5;3
47;6;4
47;7;4
47;8;4
47;9;5
48;1;4
48;2;5
48;3;5
48;4;5
48;5;4
48;6;3
48;7;5
48;8;5
48;9;5
49;1;4
49;2;3
49;3;4
49;4;1
49;5;2
49;6;3
49;7;1
49;8;5
49;9;4
50;1;2
50;2;1
50;3;3
50;4;5
50;5;3
50;6;4
50;7;2
50;8;2
50;9;2
51;1;3
51;2;4
51;3;3
51;4;2
51;5;3
51;6;3
51;7;2
51;8;2
51;9;3
52;1;4
52;2;5
52;3;4
52;4;2
52;5;4
52;6;2
52;7;3
52;8;2
52;9;3
53;1;3
53;2;4
53;3;4
53;4;3
53;5;4
53;6;5
53;7;3
53;8;3
53;9;5
55;1;3
55;2;1
55;3;3
55;4;5
55;5;3
55;6;4
55;7;3
55;8;2
55;9;2
57;1;2
57;2;1
57;3;1
57;4;2
57;5;3
57;6;4
57;7;2
57;8;2
57;9;3
58;1;3
58;2;3
58;3;4
58;4;4
58;5;3
58;6;4
58;7;2
58;8;4
58;9;5
60;1;3
60;2;3
60;3;3
60;4;3
60;5;3
60;6;3
60;7;2
60;8;2
60;9;4
61;1;4
61;2;2
61;3;1
61;4;4
61;5;2
61;6;2
61;7;4
61;8;1
61;9;1
62;1;4
62;2;2
62;3;2
62;4;3
62;5;2
62;6;2
62;7;2
62;8;4
62;9;4
63;1;3
63;2;4
63;3;4
63;4;2
63;5;2
63;6;4
63;7;1
63;8;3
63;9;5
64;1;5
64;2;3
64;3;4
64;4;2
64;5;3
64;6;5
64;7;2
64;8;4
64;9;3
65;1;3
65;2;4
65;3;4
65;4;5
65;5;4
65;6;4
65;7;4
65;8;3
65;9;3
66;1;3
66;2;1
66;3;4
66;4;4
66;5;2
66;6;4
66;7;5
66;8;5
66;9;5
67;1;1
67;2;3
67;3;5
67;4;2
67;5;2
67;6;3
67;7;3
67;8;5
67;9;5
72;1;4
72;2;3
72;3;2
72;4;3
72;5;2
72;6;4
72;7;2
72;8;3
72;9;1
74;1;5
74;2;2
74;3;4
74;4;1
74;5;4
74;6;1
74;7;1
74;8;4
74;9;3
75;1;4
75;2;5
75;3;3
75;4;5
75;5;2
75;6;3
75;7;4
75;8;4
75;9;3
76;1;4
76;2;3
76;3;3
76;4;3
76;5;3
76;6;4
76;7;2
76;8;3
76;9;4
77;1;4
77;2;2
77;3;2
77;4;4
77;5;4
77;6;4
77;7;1
77;8;1
77;9;2
